FP_ID,flag,classification,acres,n_cells,slope_mean,slope_p90,slope_max,frac_over_30
2940013,Y,III,11.0,836,12.798566818237305,18.494224548339844,25.418516159057617,0.0
2940013,Y,III,7.5,331,9.398505210876465,20.37635612487793,23.93584442138672,0.0
2940013,Y,III,51.800000000000004,3153,14.69033432006836,24.597017288208008,41.824832916259766,0.030764351411354265
2940013,Y,III,3.7,246,8.425658226013184,14.882622718811035,20.25372314453125,0.0
2940013,Y,III,3.3000000000000003,380,7.423524856567383,15.391429901123047,22.017671585083008,0.0
2940013,Y,III,14.4,807,13.45323371887207,19.353727340698242,29.68092918395996,0.0
2940013,Y,III,1.6,133,9.68761157989502,14.95477294921875,24.489816665649414,0.0
2940060,Y,II,2.0,167,39.14246368408203,46.526859283447266,49.66818618774414,0.9281437125748503
2940060,Y,II,0.2,20,39.3934211730957,42.41244125366211,43.736141204833984,1.0
2940060,Y,II,0.3,28,34.56843948364258,39.58623504638672,41.382530212402344,0.7857142857142857
2940060,Y,II,2.6,195,38.3231086730957,44.60807418823242,50.71928024291992,0.882051282051282
2940060,Y,II,52.5,3286,33.30335998535156,40.551544189453125,47.66035461425781,0.7458916615946439
2940060,Y,II,28.900000000000002,1811,34.18159103393555,41.60081100463867,46.8789176940918,0.811706239646604
2940060,Y,II,0.3,32,30.77425765991211,38.13429260253906,40.63737487792969,0.59375
2940060,Y,II,0.2,22,40.75421905517578,43.71864700317383,45.06671905517578,1.0
2940060,Y,II,0.7000000000000001,74,31.147062301635742,37.25571823120117,42.95050811767578,0.6216216216216216
2940421,N,II,3.0,172,9.430087089538574,16.64267349243164,19.14362144470215,0.0
2940421,N,II,5.0,498,4.30540132522583,10.593388557434082,21.54409408569336,0.0
2940421,N,II,30.0,1610,7.852937698364258,16.196903228759766,27.551227569580078,0.0
2940217,N,III,60.0,4149,5.298080921173096,15.542525291442871,46.37835693359375,0.01373825018076645
2940212,Y,II,48.9,3100,13.484904289245605,23.933013916015625,37.30935287475586,0.027419354838709678
2940484,Y,II,10.9,678,3.4321887493133545,7.480235576629639,26.315223693847656,0.0
2940484,Y,II,32.0,1780,2.993391752243042,5.510893821716309,38.90276336669922,0.007865168539325843
2940439,N,II,34.0,2291,11.443355560302734,19.71088409423828,40.2154655456543,0.01789611523352248
2940481,Y,II,21.0,1199,1.310817837715149,2.9115564823150635,9.57209587097168,0.0
2940481,Y,II,22.0,996,1.723710298538208,3.910731792449951,11.835135459899902,0.0
2940481,Y,II,2.0,144,1.3781973123550415,2.0264065265655518,2.4042372703552246,0.0
2940692,N,II,14.0,921,14.944714546203613,24.259029388427734,30.594282150268555,0.003257328990228013
2940692,N,II,12.0,844,3.501598596572876,5.5774455070495605,9.101612091064453,0.0
2940692,N,II,2.0,169,5.834475517272949,6.7733001708984375,7.6167097091674805,0.0
2940808,N,II,22.0,1428,3.316934108734131,8.632599830627441,18.941089630126953,0.0
2940605,N,II,9.1,605,2.8120193481445312,6.980196952819824,11.289118766784668,0.0
