stand_x,stand_y,n_stems,mean_h,max_h,mean_cai,dom_h,forest_frac,flat_frac,forest_ha,stems_per_ha,age_est,mai,cai,cai_pct,slowness,maturity_pct,priority,ready
364400,6686400,39,18.90230768154829,26.149999618530273,0.35854701606684136,18.90230768154829,0.4267,0.3378,0.4267,91.39910944457463,62.071320437912576,0.3045256254932663,0.35854701606684136,0.524390243902439,0.47560975609756095,0.21951219512195122,0.3603658536585366,False
364300,6685800,49,17.598163341989324,30.450000762939453,0.3141496670083935,17.598163341989324,0.514,0.0106,0.514,95.3307392996109,55.26156243939205,0.3184521494717066,0.3141496670083935,0.43902439024390244,0.5609756097560976,0.10975609756097561,0.3579268292682927,True
364000,6685500,90,19.099111080169678,27.229999542236328,0.3999814757594356,19.099111080169678,0.9162,0.0523,0.9162,98.23182711198429,63.18764880871005,0.30226019546935534,0.3999814757594356,0.5853658536585366,0.41463414634146345,0.2682926829268293,0.3487804878048781,False
364800,6685700,72,23.461944381395977,27.420000076293945,0.5890625025387163,23.461944381395977,0.9065,0.0284,0.9065,79.42636514065086,99.07620634953052,0.23680705232722257,0.5890625025387163,0.9878048780487805,0.012195121951219523,0.7560975609756098,0.34695121951219515,False
364800,6685800,67,19.368208920777732,29.579999923706055,0.41498755135420545,19.368208920777732,0.8411,0.0616,0.8411,79.65759124955416,64.75747956435322,0.2990883686498396,0.41498755135420545,0.6341463414634146,0.36585365853658536,0.3170731707317073,0.34390243902439027,False
364800,6685600,91,22.319889990838018,27.940000534057617,0.53563185663887,22.319889990838018,0.9311,0.0118,0.9311,97.73386317259155,86.67526982588119,0.25751162973793607,0.53563185663887,0.9024390243902439,0.09756097560975607,0.6097560975609756,0.3280487804878049,False
364900,6685500,97,22.512989693081256,28.049999237060547,0.5561769746013523,22.512989693081256,0.9874,0.0027,0.9874,98.23779623252987,88.54807263665595,0.2542459595417736,0.5561769746013523,0.9390243902439024,0.060975609756097615,0.6463414634146342,0.3243902439024391,False
364100,6685700,107,18.924112141689406,23.770000457763672,0.4363006182548785,19.383399991989137,0.939,0.0274,0.939,113.95101171459,64.8476587491651,0.2989067048197587,0.4363006182548785,0.6829268292682927,0.31707317073170727,0.32926829268292684,0.3225609756097561,False
364600,6685500,85,20.978941165699677,25.34000015258789,0.4798039197921753,20.978941165699677,0.9912,0.0048,0.9912,85.75464083938661,75.43071947605257,0.2781219814873963,0.4798039197921753,0.7926829268292683,0.20731707317073167,0.4634146341463415,0.3225609756097561,False
364200,6686000,95,18.934210506238436,25.6299991607666,0.40774561496157397,18.934210506238436,0.9741,0.0117,0.9741,97.52592136330972,62.25052748588109,0.30416144683324753,0.40774561496157397,0.6097560975609756,0.3902439024390244,0.23170731707317074,0.3189024390243903,False
364900,6685600,98,21.716020389479034,29.920000076293945,0.5205612255602466,21.716020389479034,0.9359,0.023,0.9359,104.71204188481676,81.26951128077151,0.26720992961867457,0.5205612255602466,0.8658536585365854,0.13414634146341464,0.5121951219512195,0.3042682926829269,False
364500,6685700,94,20.758723502463482,24.420000076293945,0.48973404732367676,20.758723502463482,0.9894,0.0048,0.9894,95.00707499494644,73.81998561334035,0.28120736315494593,0.48973404732367676,0.8292682926829268,0.1707317073170732,0.45121951219512196,0.29695121951219516,False
364200,6685700,100,20.33920009613037,24.899999618530273,0.46537500540415444,20.33920009613037,0.9521,0.0156,0.9521,105.0309841403214,70.89732093042602,0.2868824918799108,0.46537500540415444,0.7804878048780488,0.2195121951219512,0.3902439024390244,0.2963414634146342,False
364100,6685500,107,17.112429939697837,24.700000762939453,0.3602647974483692,17.410300035476684,0.9391,0.0237,0.9391,113.93887764881269,54.354369612163964,0.32031095493710654,0.3602647974483692,0.5365853658536586,0.46341463414634143,0.08536585365853659,0.2932926829268293,False
364500,6685600,111,18.752973023835604,23.3799991607666,0.454887394432549,19.154900074005127,0.9923,0.0017,0.9923,111.86133225838961,63.50889216708855,0.3016097340134606,0.454887394432549,0.7560975609756098,0.24390243902439024,0.2926829268292683,0.2658536585365854,False
364400,6685700,101,20.641584131977346,25.209999084472656,0.5320957057153431,20.685899982452394,0.9758,0.0027,0.9758,103.50481656077065,73.29935902720204,0.28221119880155665,0.5320957057153431,0.8780487804878049,0.12195121951219512,0.43902439024390244,0.2646341463414634,False
364200,6685800,93,19.325268796695177,24.559999465942383,0.4555286722371228,19.325268796695177,0.918,0.0339,0.918,101.30718954248366,64.50349212636856,0.29960034968083765,0.4555286722371228,0.7682926829268293,0.23170731707317072,0.3048780487804878,0.2646341463414634,False
364600,6685600,90,21.225111134847005,26.440000534057617,0.5532870389797069,21.225111134847005,0.9919,0.0022,0.9919,90.73495312027423,77.29995860060671,0.27458114492030805,0.5532870389797069,0.926829268292683,0.07317073170731703,0.47560975609756095,0.25426829268292683,False
364100,6685600,104,17.31826911522792,23.84000015258789,0.43330127497514087,17.602699880599975,0.9575,0.0168,0.9575,108.61618798955614,55.283677165676764,0.31840682065788356,0.43330127497514087,0.6585365853658537,0.3414634146341463,0.12195121951219512,0.2426829268292683,False
364800,6685500,93,21.6435483911986,27.860000610351562,0.57574372821384,21.6435483911986,0.9624,0.0116,0.9624,96.63341645885286,80.66155481715492,0.2683254549241034,0.57574372821384,0.975609756097561,0.024390243902439046,0.5,0.23841463414634148,False
364300,6686400,59,19.572711726366464,29.579999923706055,0.5321468869171574,19.572711726366464,0.6592,0.1505,0.6592,89.50242718446601,65.98605131173245,0.2966189268380482,0.5321468869171574,0.8902439024390244,0.1097560975609756,0.35365853658536583,0.21951219512195122,False
364100,6685800,95,17.972842161278976,24.040000915527344,0.4831491273746156,17.972842161278976,0.9563,0.0104,0.9563,99.34121091707622,57.122451319764494,0.314637095328231,0.4831491273746156,0.8048780487804879,0.19512195121951215,0.15853658536585366,0.17865853658536585,False
